"SCC"	"EI.Sector"
"1"	"10100101"	"Fuel Comb - Electric Generation - Coal"
"2"	"10100102"	"Fuel Comb - Electric Generation - Coal"
"3"	"10100201"	"Fuel Comb - Electric Generation - Coal"
"4"	"10100202"	"Fuel Comb - Electric Generation - Coal"
"5"	"10100203"	"Fuel Comb - Electric Generation - Coal"
"6"	"10100204"	"Fuel Comb - Electric Generation - Coal"
"7"	"10100205"	"Fuel Comb - Electric Generation - Coal"
"8"	"10100211"	"Fuel Comb - Electric Generation - Coal"
"9"	"10100212"	"Fuel Comb - Electric Generation - Coal"
"10"	"10100215"	"Fuel Comb - Electric Generation - Coal"
"11"	"10100217"	"Fuel Comb - Electric Generation - Coal"
"12"	"10100218"	"Fuel Comb - Electric Generation - Coal"
"13"	"10100221"	"Fuel Comb - Electric Generation - Coal"
"14"	"10100222"	"Fuel Comb - Electric Generation - Coal"
"15"	"10100223"	"Fuel Comb - Electric Generation - Coal"
"16"	"10100224"	"Fuel Comb - Electric Generation - Coal"
"17"	"10100225"	"Fuel Comb - Electric Generation - Coal"
"18"	"10100226"	"Fuel Comb - Electric Generation - Coal"
"19"	"10100235"	"Fuel Comb - Electric Generation - Coal"
"20"	"10100237"	"Fuel Comb - Electric Generation - Coal"
"21"	"10100238"	"Fuel Comb - Electric Generation - Coal"
"22"	"10100300"	"Fuel Comb - Electric Generation - Coal"
"23"	"10100301"	"Fuel Comb - Electric Generation - Coal"
"24"	"10100302"	"Fuel Comb - Electric Generation - Coal"
"25"	"10100303"	"Fuel Comb - Electric Generation - Coal"
"26"	"10100304"	"Fuel Comb - Electric Generation - Coal"
"27"	"10100306"	"Fuel Comb - Electric Generation - Coal"
"28"	"10100316"	"Fuel Comb - Electric Generation - Coal"
"29"	"10100317"	"Fuel Comb - Electric Generation - Coal"
"30"	"10100318"	"Fuel Comb - Electric Generation - Coal"
"80"	"10102001"	"Fuel Comb - Electric Generation - Coal"
"81"	"10102018"	"Fuel Comb - Electric Generation - Coal"
"83"	"10200101"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"84"	"10200104"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"85"	"10200107"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"86"	"10200117"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"87"	"10200201"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"88"	"10200202"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"89"	"10200203"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"90"	"10200204"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"91"	"10200205"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"92"	"10200206"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"93"	"10200210"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"94"	"10200212"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"95"	"10200213"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"96"	"10200217"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"97"	"10200218"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"98"	"10200219"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"99"	"10200221"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"100"	"10200222"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"101"	"10200223"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"102"	"10200224"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"103"	"10200225"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"104"	"10200226"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"105"	"10200229"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"106"	"10200300"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"107"	"10200301"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"108"	"10200302"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"109"	"10200303"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"110"	"10200304"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"111"	"10200306"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"112"	"10200307"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"161"	"10300101"	"Fuel Comb - Comm/Institutional - Coal"
"162"	"10300102"	"Fuel Comb - Comm/Institutional - Coal"
"163"	"10300103"	"Fuel Comb - Comm/Institutional - Coal"
"164"	"10300203"	"Fuel Comb - Comm/Institutional - Coal"
"165"	"10300205"	"Fuel Comb - Comm/Institutional - Coal"
"166"	"10300206"	"Fuel Comb - Comm/Institutional - Coal"
"167"	"10300207"	"Fuel Comb - Comm/Institutional - Coal"
"168"	"10300208"	"Fuel Comb - Comm/Institutional - Coal"
"169"	"10300209"	"Fuel Comb - Comm/Institutional - Coal"
"170"	"10300211"	"Fuel Comb - Comm/Institutional - Coal"
"171"	"10300214"	"Fuel Comb - Comm/Institutional - Coal"
"172"	"10300216"	"Fuel Comb - Comm/Institutional - Coal"
"173"	"10300217"	"Fuel Comb - Comm/Institutional - Coal"
"174"	"10300218"	"Fuel Comb - Comm/Institutional - Coal"
"175"	"10300221"	"Fuel Comb - Comm/Institutional - Coal"
"176"	"10300222"	"Fuel Comb - Comm/Institutional - Coal"
"177"	"10300223"	"Fuel Comb - Comm/Institutional - Coal"
"178"	"10300224"	"Fuel Comb - Comm/Institutional - Coal"
"179"	"10300225"	"Fuel Comb - Comm/Institutional - Coal"
"180"	"10300226"	"Fuel Comb - Comm/Institutional - Coal"
"181"	"10300300"	"Fuel Comb - Comm/Institutional - Coal"
"182"	"10300305"	"Fuel Comb - Comm/Institutional - Coal"
"183"	"10300306"	"Fuel Comb - Comm/Institutional - Coal"
"184"	"10300307"	"Fuel Comb - Comm/Institutional - Coal"
"185"	"10300309"	"Fuel Comb - Comm/Institutional - Coal"
"215"	"10500102"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"221"	"10500202"	"Fuel Comb - Comm/Institutional - Coal"
"433"	"2101001000"	"Fuel Comb - Electric Generation - Coal"
"434"	"2101002000"	"Fuel Comb - Electric Generation - Coal"
"435"	"2101003000"	"Fuel Comb - Electric Generation - Coal"
"447"	"2102001000"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"448"	"2102002000"	"Fuel Comb - Industrial Boilers, ICEs - Coal"
"462"	"2103001000"	"Fuel Comb - Comm/Institutional - Coal"
"463"	"2103002000"	"Fuel Comb - Comm/Institutional - Coal"
"527"	"2199001000"	"Fuel Comb - Comm/Institutional - Coal"
"528"	"2199002000"	"Fuel Comb - Comm/Institutional - Coal"
"529"	"2199003000"	"Fuel Comb - Comm/Institutional - Coal"
